id,reviews,target
1573,레드향 시켰는데 반쯤은 말라서 못먹었네요 완전비추,1
1574,"페도라 S9인데 넉넉하게 잘 맞고, 색상도 고급스럽고 냄새도 안나네요. 배송도 빠릅니다.",5
1575,신발은 괜찮은데 민원응대가 별로네요,2
1576,별루예요!~~~~~~~~~~~~~~~~~~~~~~~~~,1
1577,티백에 익숙한 저에겐 살짝 번거롭지만 건강해지는 기분이에요~,4
1578,사진이 나음.. 좀 별로임,2
1579,재구매 두번째 구매인데 맛도 없고 안달아요 전혀 . . . 배송은 일주일넘게 똑같이 걸렸는데 처음시켰던건 알도 크고 달았는데 이번껀 맛이 없네요 ;;; 단맛이 전혀 없어요 가격은 7천원이나 더 비싸게 주고 샀는데 이제 구매안해야겠어요,1
1580,아직 먹어보지 않았지만 효과를 기대합니다,5
1581,배송은 엄청 빨라서 좋았는데 재질이 너무 두꺼워서 더울거 같아요.,2
1582,배송빨라고요 조개껍데기가 너무 약해서ㅜㅜ 생각보다는 알맹이는 작지않았어요,4
1583,배송빠릅니다. 품질도 좋습니다,4
1584,가격대비 너무 좋은것같아요!!! 유용하게 잘쓸게용ㅎㅎ,5
1585,색 걱정했는데 원했던 색이랑 똑같아요! 진한 그레이색이라 너무 예쁠거 같습니다 ~ 흐흐흐,5
1586,여름용으로 구매했는데 생각보다 면이 두꺼워요.,2
1587,배송도빠르고 제품도 괜찬은거 같아요!,5
1588,길이가 애매하네요~ 짪은것도 긴것도 아닌 길이.. 가격만큼 쫌 싼티도 나고..,2
1589,너무 헐겁네요..,2
1590,재구매 너무잘먹습니다 잘묵죠,5
1591,별로 안잡혀요ㅠ 사고서 후회할 일이 생길 것이니 조심하시길 바래요ㅠ,1
1592,장인어른 사드렸는데 꽤 좋아하세요~ 친정부모님께 사드렸는데 너무 좋아하세요. 지난 번 소파를 가구 운반하신 분에게 처리해 달라고 하여 새로 설치했는데 거실이 확실히 달라졌네요. 추천합니다^^,5
1593,포장상태 좋고 배송 빨라요,5
1594,색상은 화면보다 더 쨍한거같아요 기대보다는 별로였어요,4
1595,입자가 고와서 더 작업하기 편했네요,5
1596,아직 써보지는 않았는데 마감이 깔끔하진 않네요~,2
1597,하...다찌그러져서 와가지고 조립하는데 시간이 너무걸렸어요 찌그러지니 균형도 안맞고 망치로펴면서 했네요 철재는 택배하면 안되겠어요,1
1598,최고 뜨신물잘나오고 최고입니다,5
1599,밝고 좋습니다. 배송 굿,5
1600,조리원에서 사용하던거에요 좋아요!,5
1601,매우만족스럽습니다 던져보고싶네요,5
1602,다리부분에 하자가있는데 교환하기 귀찮아서 그냥써요,1
1603,5살이 쓰기엔 사이즈가 크네요,2
1604,좋네요 계란 후라이도 예쁘게 되고. 나름 집에서 브런치 제대로 먹는 기분도 나고 좋네요. 저렴하게 잘 구매한거 같아 기분좋게 잘쓰고 있습니다,4
1605,하나도 시원하지가 않음,2
1606,딸아이가 너무 좋아해요. 사이즈도 딱 맞고 한가지 흠이라면 ㅋㅋ시끄러워요,5
1607,배송 빨라서 좋았어요 밑창이 좀 더 넓었으면 좋았을것같아요,5
1608,빠른 배송 감사합니다. 큰발인 사람용으로 남성용 실내 덧버선 같은 것이 있으면 좋겠습니다. 이왕이면 미끄럼 방지 처리 되어 있는 것으로요,5
1609,이건 꼭 사야해.,5
1610,업체가 마음에 안드네요. 이불 샀는데 사진과 이미지달라도 너무달라 속았어요.거기다 반품비까지 내라내요.몇천원 내면 그만이지만 눈이 있다면 사진과 실제와 비교해보시기를 바랄께요,2
1611,착용감이 억시로 좋아요 번창하셔요~,5
1612,재구매 향도 좋고 가격도 싸서 부담없이 쓰고 있어요,5
1613,아쉬움 뷔페접시라서 왠만한 크기가 될거라고 생각햇는데 너무 작아 실망스러웟어요.뷔페접시는아닌듯... 같은제품 도자기 셋트를같이구매햇는데 접시가 겹쳐서 사용안하고잇어요,2
1614,실제로 보는것 보다 사진이 잘나왓네요. 뒤꿈치는 누가 신어본걸 보내주신건지 오염되서 왓습니다,1
1615,"상품은 좋으나 배송이 너무 느려요. 상담원도 불친절하고, 오히려 배달기사님이 친절하네요. 써비스 꽝!인 판매자님 각성하세요.",2
1616,뚜껑에 밀폐를 위한 고무링이 있는데 뺐다 끼우는게 쉽지 않네요. 좀더 넓게 나옴 좋겠어요,2
1617,크리스마스에 정말 맛있게 먹었어요 :),5
1618,가격이 너무싸서 그런지 휴대요므로 만들어서 무게 때문에 그런지 소재 자체가 너무 가벼워서 옷이나 물건을 넣었을때 각이 안나옵니다 그냥 편하게 막사용할 용도로는 괸찮아요,2
1619,홈이 안맞아서 엄청 고생했네요 홈에 맞춰서 겨우겨우 넣느라 몸살 걸릴꺼 같아요 새 상품 주문했는데 스크래치가 왜이렇게 많은지 모르겠어요,2
1620,고양이들이 좋아하면 좋겠어요!,4
1621,날도 더운데 냉동 상품 배송 하면서 스티로폼 박스 내부 온도 신경 안쓰시는건지.. 날이 더우면 평소보다 드라이 아이스를 더 넣던지 해야지 다 녹아와서는 국물이 질질 흐르고 굉장히 찝찝하네요,2
1622,찌꺼기가 장난이 아닙니다.,2
1623,"다 좋아요 스티커를 일반쓰레기 비닐, 등 스티커주시면좋겟어요 판매를하셔도좋고ㅎ 같은색 주방에 둿더니 색이같아 아직도 헷갈려요ㅎ 네임스티커붙여야겟어요 그래도 잇으면 주방등 깔끔해보여좋아요",5
1624,값어치합니다. 정품 고가형과 비교해 떨어지는 것도 없네요~^^,5
1625,선반 사이즈 재고 산건데 왜 안맞나요... 쇠냄새도 역할정도로 많이 납니다..ㅜㅜ 그리고 중간에 그을린거 뭔가요... 억지로 꼈더니 삐뚤어요 싼맛에 써야할거 같은데 제대로 된거 다시 사야겠어요,1
1626,재질도 별로도 차에 맞지않네요,1
1627,겉에 묻어 있는 설탕이 많아요. 저한테는 너무 달고 별로 맵지도 않네요.,2
1628,대만족 빠른배송 좋은품질 만족합니다,5
1629,전화로 안내해주신대로 사이즈 잘 맞춰서 보내주셔서 감사합니다! 나비주름으로 하길 잘했네요.ㅎㅎ,5
1630,아직 많이 쓰지 않았는데,2
1631,예전엔 안그랬던거 같은데 붙이면 자꾸 떨어지네오,2
1632,처음에 빡빡하게 설치했는데 시건이 지나면서 줄어들어요,2
1633,일반적인 기화식가습기입니다 세척 용이합니다,2
1634,엥...ㅠ 단호박도 아니구 밤호박인데 맛없구 쌉싸름한맛나요ㅠㅠㅠ 혹시 맛없을까봐 조금만 시켰는데 3개와서 하나먹고 지금 나머지 손도 안대구 있어요 ㅠㅜㅠㅠ,2
1635,홈 cctv에 쓰려고 샀어요~ 잘 작동됩니다!,5
1636,재구매 잔새우만 잔뜩 담아서 라면에나 넣어야지 지난번하고 완전 다름. 시간 갈수록 돈에 눈이 멀어가지고 지들이 소분한 봉투에는 큰애들은 몇마리 없고 전부 까먹을거 없는 잔새우로 봉투채워 놓음. 돈맛 보더니 점점 쓰레기짓 하는 가게임.,1
1637,"아직 먹어보지 않았음. 빠른배송, 신선함",5
1638,산사람으로써... 완전 진짜별로 역시 보고 사야됨 수납공간도 너무작고 책 세권 넣으면 꽉차겠음 차라리 딴거 살껄 완전 후회중,2
1639,빨라요~감사요~^^,5
1640,아직 안써봤어요 사용해봐야 알듯,1
1641,이거 되는거 맞는지 모르겠어요.,1
1642,필수입니다 꼭 같이 구매하세요,5
1643,저는 이거쓰면 왜 트러블이 올라올까요 ㅠㅠ 다른 사람 선물줬어요,1
1644,많은 빨래와 편하하게 이동하며 너무 잘 쓰고있어요 좋아요 ^^*,5
1645,너무 잘 고장나요 ㅜ,2
1646,그냥그래요ㅔ,2
1647,배송이 너무 늦네요....,2
1648,4개 주문 했는데 1개 물놀이 중 바느질 불량으로 고리 떨어졌네요. 아이조끼가 ㅜㅜ,2
1649,보온 호과가 거우오오의 없어요,1
1650,허리가 너무커요 ㅜㅜ,2
1651,처음엔 선물을 받아서 썼는데 향이 너무 좋아 저도 다른사람들에게 선물했네요~~^^,5
1652,이거 길이 자르면 나머지부분 사용불가,2
1653,귀여워요 잘사용하겠습니다,5
1654,아이스배송을 했는데.. 다녹아서 물이 되어있고 만져보니 미지근해요.. 아이스배송이 의미가 있나 싶네요....,2
1655,자이누하이드로콜로이드습윤밴드,2
1656,넘작은거 작은걸로 잘못삿어요ㅠㅠㅠㅠ그래도 이것저것 써먹어야죠 뭐ㅠㅠ 다음번엔 좀 큰걸로 살께요ㅎㅎㅎ,5
1657,싼게비지떡ㅠ 돈더주고살걸그랬어요 1+1인데하나가 쓰기도전에고장...,1
1658,색상도 너무 많이 들고 사진 그대로에요 사이즈 일부로 안잿는데 딱 퀸사이즈에 맞아서 좋았고 검품 꼼꼼하게 부탁 드린다고 써놨는데 검수표시까지 해주시고 너무너무 마음에 쏙 들었어요,5
1659,괜찮네요 2+1으로 해주셔서 감사해요. 제주양배추가 아닌 다른 양배추즙도 먹을만 하대요. 구수한 맛이라고... 다음에도 구매할듯 합니다.,4
1660,아주 맘에 들어요 이제껏 본것중 최고예요~ 이런 제품이 있어서 얼마나 고마운지 몰라요 감사합니다,5
1661,맛잇서요.만족합니다,5
1662,"첨엔 냄새가 아주 조금납니다,세탁후에는 물론괜찮구요...일반 싸구려처럼 물이 빠지지않아서 좋네요",5
1663,높이 조절하고 바닥 고정하는 받침이 불안정하네요,2
1664,작고 좋아요. 캠핑장에서 쓰려고요.,5
1665,리커버리는 개뿔... 걍 거품 스폰지같네요... 절대 사지 않아도 됨,1
1666,좋아요 다음에는 컬러 있는거도 사고싶네요,5
1667,아직 뜯어보지는 못했지만 잘쓰고 있어요,5
1668,독한 냄새가 나서 버렸습니다.,1
1669,제가 시술을 똑바로 못한건지 ㅠㅠ 하나도 안되고 속눈썹은 다 빠지고... 가늘어서 탄거처럼 흐늘해지고ㅜ 뷰러도 안먹는 속눈썹이 되버렸네요.. 슬퍼요. 남은 4회분은 딴사람 주려구요,2
1670,아랫판 비뚤어진게 왔음 모르고썻는데 짜증나네요,2
1671,아기도잘먿고 좋아요,5
1672,잘받았고요 고소하고 짜지않아서 단백해요,5
1673,"냄새가 너무 납니다.. 한달을 기다려도 냄새가 안빠졌어요,, 피톤치드 액을 보내주셔서 뿌렸는데도,, 냄새가 나네요.. 화학약품이 포름알데히드 검출이 되는것은 아닌지 걱정됩니다..",1
1674,역시 의류는 직접 보고 사야 하나 봄.,2
1675,옷걸이 걸으니 편하네요,5
1676,별로`~ 쿠션별로 별로 색상도 안찍하고 가격도 안착하고 많이 파세요~~ 다른 쿠션 으로 할껄~~별로,2
1677,신은지 몇시간만에 구멍났어요 ...ㅠㅠ,1
1678,장조림은 아이가 처음에 메추리을도 네개를 먹고 엄청 잘 먹더라구요 백김치도 제가 먹어도 맛잇엇어요,4
1679,좋아요편해요잘입엇어요,4
1680,깔끔하고 예쁘고 좋아요~약간 흔들리지만 밑에 고정을 안했기에,5
1681,무타공으로 4개를 주문했는데... 박스에는 2개씩 무타공이라고 써있지만 2개가 타공제품으로 왔습니다. 시간이 없어 그냥 설치했는데 기분이 별로네요,1
1682,핸들이 좀 헐렁거리네요,2
1683,깔꼼하고 가성비 갑 페달입니다. 마스터키보드에도 잘 작동해요!,5
1684,슬슬 짱구베개 구매할때 돼서 리뷰보고 삿는데 역시나 한개를 덤으로 주시네요~^^아직 약간 높은감은 있지만 디자인이며 색감이며 너무 마음에 들어요~~^^,5
1685,혼자서 붙이는게 쉬운게 아니네요,2
1686,좋습니다 좋아요ㅎㄱ,2
1687,사각형이 아니라 의자에 잘 맞지 않습니다 ㅜㅜ,1
1688,충전기 하나빠져서 말씀드렸더니 보내준다해놓고 2주 넘게 소식이 없네요. 제품은 잘 쓰고 있습니다,2
1689,재구매 통이 너무 펑퍼짐해서 별로네요,2
1690,피지가 안나와요..ㅎㅎㅎ 후기 믿고 샀는데...ㅎ 차라리 스팀타올로 모공 열고 하는게 이거보다는 잘 나올듯해요..,2
1691,스카티 스탠드백에는 착용이 되질 않아 백을 하나 더 샀네요 이거 때문에,1
1692,재구매 벌써 4번째입니다. 배송 빠르고 싱싱해요.,5
1693,괜찮네여~~ㅋㅋㅎ좋음,4
1694,디자인도좋고 경고하고 너무 좋네요~^^,5
1695,아기 장난감 닦으러고 구입했어요,5
1696,양념은 맛있었지만 조개류가 싱싱하지않았어요,1
1697,색깔은 괜찮은데 펫트 장판 원래 내구성이 떨어지나요? 냉장고 살짝 옮겼는데 푹파여서 황당했어요,2
1698,추천안합ㄴㅣ다 후기가 그닥 별로라 (아주 짱짱맨!☆☆) 살짝 걱정하긴 했는데.. 사진에 포샵을 엄청하셨나봐여....가죽도 별로,2
1699,사무실 바닥 공사중인데 너무 좋네요,5
1700,창무사이에서 헐렁거림이요,2
1701,재구매 곰팡이 피어있어요...냄새도나고 배송받고 꼼꼼히 봤어야했는데 넘 늦게발견했어요 버려야될것같아요,1
1702,포장도 잘 돼있고 배송도 빠릅니다,5
1703,어린이칫솔이라 적혀있어서 유치원 보내려고 샀는데..2~3살용 크기로 보시면 될듯해요,1
1704,안맞네요ㅡㅡ,2
1705,그저그래요 별로입니다,2
1706,매우 불편합니다...,1
1707,서랍이 자꾸 아래로 주저앉네요 ㅠ 이번 뽑기는 실패인가봅니다,2
1708,그냥 모양만 이쁜빗이구요.겉에만 빗겨진대서 큰 익스트림시켰는데 똑같이 겉에만 빗겨져요 ㅋㅋ 다이소에서 산3천원짜리 브러쉬가 더 잘빗겨요. 정말그냥 모양값으로 2만원쓴거같네요~^^,1
1709,저에겐 너무 별로였어요 ㅠㅠ,1
1710,세가지중 염통이 젤 별로였어요 넘 딱딱해요,2
1711,이유식만들기번거로운데큐브로만들어놓고쓰니편하고좋아요ㅎㅎ용기사이즈가생각보다작아서..아숩긴해요ㅎ,4
1712,너무 달고 맛있어요,4
1713,입을만해요 또살겁니당ㅎㅎ,1
1714,해외배송인데도 빨리 받아서 좋아요.,5
1715,말랑한 신인줄알았는데 발이 좀 아프넹ㆍㄴㄷ,2
1716,주문갯수와 배송이 틀려서 전화 하느라 휴대폰 요금 나가고 택배 송장 사진 전송하느라 수고와 시간.... 아까움,2
1717,배송기간은 15일 이상걸리고 전복은 다 죽어서 오고,2
1718,재구매 넘넘 이쁘고 만족해요^^,5
1719,배송은 빠르나 제품이 누락 및 오배송됨 환불기간 오래걸림,1
1720,찍찍이도 창문에 맞춰서 주문하기도 다어려움,2
1721,사진보고 기대가컸나봐요 심심하니 시원은해요,2
1722,조금 무섭긴하지만 디자인도 이쁘고 맘에 들어요,4
1723,뜯어서 반품 요청은 안했지만 정말 ㅜㅜ 실망입니다 소재가 괜찮을지도 의문이네요 ㅠㅠ,1
1724,재구매 저희집은 몇년동앙 이것만 먹이는데 변도 좋고 강아디글도 좋아해서 계속해서 이용할 생각입니다,4
1725,설선물로삿어요 비싸게포장되어잇는느낌이빡들어요 맛잇었어요오,4
1726,멋잇습니다 간지나곸,5
1727,빠른배송에 원단의 조직감도 컬러도 넘 맘에 들어요~~,4
1728,경동택배 잡것들이 영업소에서 2일 묵혀둬서 직접 찾아가서 자차에 싣어왔습니다 택배회사를 바꾸셔야할듯 배송 이 덕분에 늦었고 제품 불량있는지 없는지는 뜯어보지도 못했네요 제품 하자있음 연락드릴게요,2
1729,간만에 잡아보니 녹슨 기타줄. 아주 소리가 맑은 느낌입니다.,5
1730,좋아요 ㅆㄷ기편해요,4
1731,흰색이라 깔끔하고 아기쓰는건데 재질도 좋고 부드럽네요,5
1732,잘받앗어요 크고 통통해요,5
1733,좋아여 잘쓸케여ㅋㄷ,5
1734,세번째 믿고시켰는데 맛이 맹탕맹탕 물먹은 아보카도 느낌...?실망스러운...,2
1735,또 구매하겠습니다. :),5
1736,상큼한 맛이 없고 생레몬에 비해 쓴맛?도 납니다,2
1737,겨울니트 전부 이걸로 세탁했어요 드라이값아낄수있어서넘좋네요,5
1738,가방 수납장으로쓰는데 튼튼화고 좋네요,5
1739,포장 괜찮은거 하나 빼고는 서비스 엉망. 1+1로 팔아 놓고 제품 1개만 보냄. 그래놓고 양해나 설명 한마디 없이 선심 쓰듯 추가로 보냈다고 둘러댐. 절대 재구매 의사 없음,1
1740,재구매 통통학고 커요. 고소합니다,5
1741,조카들이 유투브 보고 사달라해서 샀는데.. 먹어보니.. 두번은 안사려구요..ㅠㅠ,2
1742,이게 알류미늄브라켓입니까?,1
1743,굿굿이네요 듣던대로 안장계의 쇼파란 말이 나오더군요 드디어 엉덩이의 주인을 만난것 같네요 주문하자마자 연락와서 예상배송일 알려주셔서 감사합니다~,5
1744,각인이 바깥쪽에 있어요 당연히 안쪽에 있을거라고 생각한 메세지가 바깥쪽에 있어서 넘 당황스러워요 민망해서 어떻게 하고다니죠ㅋㅋ,1
1745,결국 거품용기는 못받은...ㅠ,1
1746,벌써 10통째 리필 사용하고 있어요! 감사해요,5
1747,가격대비 만족합니다 살치도 간단하고,5
1748,캔버스작품만들때쓰려고 준비했는데 잘쓸게요,5
1749,보는것처럼 손톱만큼 감겨있어서 생각보다 테이프량이 얇아요 ㅠㅠ 접착역도 다이소꺼보다 훨씬 약해서... 여러번 밀어야 해요... 케이스도 뻑뻑해서 뺐다 끼기 힘듬 ㅠㅠ 그저 그래요.... ㅠㅠ,2
1750,와...어떻게 포대자루같은 곳에 달랑 박스만 넣어서 보내주시는지...그러다 비오거나 물에 젖었으면 어쩌려고 그렇게 포장해서 보내주나요... 박스도 품질이 너무 안좋아요... 아무리 저렴하다하더라도 이건 아닌듯 합니다.. 별하나도 아깝네요,1
1751,"고춧가루가 너무커요.. 딱만들었을땨 먹스러운 색감은아니고 너무달아요, 손님상으로내놓기엔 좀 엉성한맛이잇고 그냥 가족끼리먹음 간단하구 조아용",2
1752,지인 추천으로 샀는데 너무 좋아서 다른테로 하나더 구입하고 싶어요~~^^,5
1753,테이블 사각 화이트 시켰는데 블루가 왔어요,2
1754,나편리하고자 가루를시키긴했는데 그전날 양배추까지는 잘먹었는데 가루로쓰고나서는 안먹네요 아직며칠밖에안지나서 모르지만 약간까칠한아이한테는 직접 갈아서 먹여야될듯해요,2
1755,택배 상자가 다뜯어지고 안에 제품 곽이 뭉개져서 왔네요 ㅡㅡ 아기껀데 뾰뾱일로 잘감싸서 보내셔야지 뭐 개떡같이 보내주셨나요 반품하려다 그냥 씁니다 .,2
1756,"워터파크 가서 튜브에 바람넣어보니 제일 작은게 구멍이나서 우리 막내가 놀지 못했답니다, 저도 기분이 매우 좋지 않았습니다. 제일작은거 교환해주던지 이떠한방법을 취해주기바랍니다",1
1757,가벼운데 너무 커요 제가 작은편이 아닌데도 너무 커요,2
1758,전에 먹던거보다 맛이 진해요,5
1759,너무 따셔요 ㅠㅠㅠ 간단하게 설치해서 사용할 수 있어서 좋고 따뜻하게 공기를 데필 수 있어서 좋습니다~,5
1760,재구매 맛있어요 저렴한 가격에 괜찮아요,5
1761,배송은 좋으나 성능은 그닥...,2
1762,재구매 맛있어요 종류별로 시켜서 익혀먹어요,5
1763,채칼이 너무 촘촘해서 어른 볶음밥용으로는 너무 작아요ㅜㅜ,2
1764,상품배송누락으로 일주일만에받았어요 근데 색이 별로고 스타일도 좀 그래요 누락됐을때 취소해준다고 했는데 그럴걸 싶어요,2
1765,95사이즈가 90보다 작으며 여름용 으로는 두꺼워 여름에 착용이 곤란함,1
1766,원단이 썩 좋지 않네요.. 그냥 그래요.,2
1767,하고싶은 말은 많은데 따로적진 않습니다. 추천안해요,1
1768,상처부위에 사용중인디 생각보다 잘떨어져요 ㅠㅠ,2
1769,빠른배송 좋고 이뻐요,5
1770,항상쓰던거라만족해요,5
1771,사이즈가 터무니없이 크네요 실망했어요,2
1772,화면에서보다좀실망스럽다,1
1773,한번쓰고 고장인 나네요,1
1774,이번에 처음 주문해봤는데 가격에 비해서 퀄리티가 너무 좋아요ㅠㅠㅠ 각인도 너무 이쁘게 잘됐어욯ㅎ 너무 마음에 들어서 다른 친구들한테도 추천했어요!!,5
1775,가성비 가심비 모두만족하는 제품인거 같네요!,4
1776,챙은 넓어 좋으나 빅사이즈가 이리 길줄이야 모델이 착용 한 모습과 다릅니다ㅠ 앞 안보이는건 둘째 치고 찰리의 쵸콜릿공장에 나온 찰리 모자처럼 붕떠있는 느낌이랄까 창피해서 사진은 못 올려요 길이가 짧은걸 사세요,2
1777,딱 생각했던거라 다행이에요,2
1778,저렴하게 잘구매한듯요,5
1779,리플 다른 곳이랑 많이 달라요ㅠ.ㅠ,1
1780,일회용인가요?? 한번신고 바로 구멍이 ㅜㅡㅜ 검정색은 물들어서 신발이 난리났네요,1
1781,잘받았습니다 잣받았습니다 잘받았서요 잘받았아유,4
1782,효과 하나도 없음 100% 사기입니다,1
1783,생각보다 아주 조그만해요 손바닥에 반정도 됩니다 안에는 병아리콩 보다 조금더 큰 콩콩볼이 약 30개 정도 있어요,5
1784,마음에들어요 사진에 예쁘게 나와서 좋아용,5
1785,여름 한달 동안 수분크림 대신 잘 썼습니다. 냉장고에 차갑게 해서 여름에 뜨거운 피부 진정시키기 좋네요. 많이 파세요,4
1786,BON 네이비 고스판 슬랙스바지 바지 스판이라서 너무 편합니다 색상도 괜찮고 좋네요 다음에 바지 또 주문할께요 ^^~~~,5
1787,생각보다 달아요.ㅠㅠㅠ,1
1788,쫄깃하고 넘 안달고 맛나요^^ 한번 먹을때 넘 많이 먹는게 단점입니다^^,5
1789,아구가 안맞아서 서랍이 부드럽게 닫히지 않습니다...반품 귀찮아서 그냥 쓰네요..,1
1790,재구매 배송빠르고 너무 맛있어용~,5
1791,좋아요 가격에 비해서 모양이 좋고 소리도 잘 나오고 좋네요 또한 배송빠릅니다 휴대하기도 편해 추천합니다,4
1792,제품 설명 부족으로 잘 못 주문,1
1793,아가들이 안 먹어요. ㅜㅜ 기호성이 좋다는 댓글이 많길래 시켜봤는데.. 전혀 먹질 않네요. 까다로운놈들 ㅜㅜ,2
1794,정말 맛있어요 계속 먹어요,5
1795,새벽에 잘 사용하고 있습니다,5
1796,꽃이 다 시들어서 의미없었네요,2
1797,사이즈가 작아요 실망,1
1798,마릿결이 좋은건지 잘모르겠어요ㅔ,2
1799,조립이 어려워 아직 사용전이에요 오늘 지인도움으로 조립후 사용해보겟습니다,5
1800,물건 잘못보냈네요. 대응이 아쉽네요,1
1801,튼튼해 보이고 좋습니다....하지만 가격이...후덜....,5
1802,스티커 때기 힘들었지만 잘 사용할께요.,5
1803,써봐야알겟지만 닦이긴 잘 닦입니다 다만 중국산이라 내구성이 별로 좋지않을까 걱정이됩니다 배송은 빨라요,2
1804,그냥그래요 생각만큼 땡길거믄 티가 나네요,2
1805,야채 과일 세척으로 샀는데 세척이 잘되는건지 잘 모르겠어요ㅜ 방울토마토같은경우 노랗게? 색이 변하는데 그게 농약때매 그런건지 모르게써요 일단은 쓰고잇고 재구매의사는 없을듯요ㅡ,2
1806,생각보다 작긴하지만 데일리로 쓰기에 딱 좋아요~^^ 깔끔합니다,5
1807,버섯에서 너무냄새나서 다버렸어요,1
1808,이 못 어떻게 사용하나요? 자세한 설명서를 보내주셨으면합니다,2
1809,정리 너무 깔끔하게 잘 했어요! 저희집 사람들은 발이 다 작아서 적당히 잘 들어가는데 큰 신발 신는 분들은 안맞을 수도 있을거 같아요! 잘 샀어요 감사해요,5
1810,맛있고 편리해서 좋네요 손님 올때 대접하기도 좋을 것 같아요 잘먹었습니다.,5
1811,항상 잘 먹는 유산균입니다,5
1812,매트 크기가 좀 작고 움직일 때마다 매트가 들리는 불편함이 있네요ㅠㅠ 재질은 시원해요,2
1813,좀 얇다는 점이 아쉽네요.,4
1814,닭은 신선하지 않았고 양념은 매우 짜서 어떤 맛인지 모르겠습니다,2
1815,생각보다 고기 상태가 별로 입니다 배송 온날 먹었는데 고기 부위가 따로따로 떨어져 있고 고기에서도 미세하게 잡내가 잡니다 인터넷에서 보고 기대하고 샀는데 다시는 구매해서 먹을 생각은 없네요,1
1816,너무나도 괜찮은 제품 잘받어써요,5
1817,"빠르고, 싸고 좋네요",5
1818,페넬로페물티슈는 울 가정에 가장 중요한 생필품 입니다. 잠시 한번 다른물건에 접해보고는 다시금 돌아오게 만드는 마법같은 물건이죵 ㅎㅎㅎ 좋은물건 판매해주셔서 감사합니다.사업번창하시길 바랍니다.,5
1819,"코디 하기도 좋고, 계속 신고 다니는데 편하고 만족 합니다.",5
1820,제품은 잘 작동하는데 소리는 저랑 안맞는거 같아요. 모든 소리를 다 들어봤는데 저한테는 다 불편하네요..,2
1821,동네과일가게보다 비싼값에 양도적고 맛도그저그래요,2
1822,재구매 회사에서 쓸거라서 8개 구매 하고 추가 주문도 해야 하는데 항상 3-4개씩은 파손되어 있네요 심한거는 교환하고 덜한건 그냥 쓰려고 하는데 포장에 신경 쓰셔야 할거 같아요 ;,1
1823,효과좋네요감사합니다,5
1824,다리하나를 조립못했어요 구멍이 안맞아서 나사가 안들어가네요 중국제품 ㅠㅠ 좀 견고하게 만들어주세요 박스도 버리고 해서 그냥씁니다,1
1825,두개 주문하면서 색상을 다르게 했는데 색상이 동일하게 왔어요. 싸지도 않은데 실망스러워요.,1
1826,매번 잘 먹습니다.,5
1827,재구매 두번째 구매예요~ 이번엔 만족스럽게 왔어요.ㅎ 지난번 잎이 너무 짧아서 걱정했는데.ㅎㅎ,5
1828,구멍난걸 보내면 어떡합니까ㅡㅡ,1
1829,이제품은 항상 쓰던거라 배송도 빠르고 좋아요~,5
1830,커버가 맞지 않네요 지퍼는 이미 빠졌습니다,2
1831,이니스프리 용암해수로 바깟는데 좋네요,5
1832,정말 마우스 클릭 소리가 거의 안들리네요 ㅎㅎ 기기 2대 번갈아가면서 쓰는게 가장 좋고요 크기도 맘에 듭니다,5
1833,2~3시간 정도만 따듯하고 식어버리네요.,2
1834,뚜껑 안에 기름칠이 된 것처럼 미끌거려요 아가가 쓰는 건데 기분이 나쁘네요,1
1835,아이폰7 대용량 구매해서 사용해보니 배터리소모가 빠르네요 4시간 동안 카톡이랑 시계만 확인했는데 잔량이 50%밖에 안남아있네요,2
1836,아직 이용전인데 예약확인됐다고 구매확정을 먼저하라고하네요. 순서가 이게 맞는건지 모르겠습니다.,1
1837,크기도 엄청 크고 가볍고 이쁘네요,5
1838,귀걸이도 예쁘고 사은품 주신것도 예쁘고 신경써준느낌이 팍팍들어요~ 재구매1000%입니다,5
1839,처음보다 점점 실력이 늘고있음 ㅋㅋ 자연스러워 더예뻐여,5
1840,마니 축축한 노가리네여~ 조금 짜기도 하구~,5
1841,컬러넘이쁘고 가죽질도좋아서 그립감도 넘좋아요,5
1842,재구매 급하게 주문한건데 빨리 갖다주셨어요~~^^,5
1843,조금더비싼다룬걸살걸그랫어요,1
1844,"사이즈가 편하지만, 흔히 말하는 엉덩이에 안끼어서 너무 좋아요! 그리고 텐셀이라서 그런지 확실히 진짜 편해요ㅠ 처음에는 그 레이스 부분때문에 고민했는데, 진짜 편합니다!",5
1845,이쁘고 튼튼해서 좋습니다.,5
1846,전혀 붙지않아요..정말이건아니다싶네요,2
1847,조아요 제가 조아하는 향기임다,4
1848,마음데로 다 휘어져서 좋아요.,4
1849,생각보다 편하지 않네요,2
1850,편하게 잘 사용하고 있어요^^,4
1851,아니 배송주소를 도대체 어떻게 보고 하신건가요??1102혼데 물건을 1120호에 보내놓고 따로 연락도 없고 장난하는것도 아니고 1120호에 보내놔서 상품 다뜯겨있고 찾느라 개고생,2
1852,그냥 기대보다 별로네요,2
1853,깔끔하고 예뻐요 많이 파시구 번창하세요~~^^,5
1854,재구매 흉통줄이기엔 이것만큼 좋은 템이 없으나 와이어가 너무 잘 부러집니다. 벌써 3개째 구입이예요,2
1855,딱 이유식용 입니다 좋아요 라면끓이기도 좋을꺼같아요,5
